open,close,high,low,value,quantity,end
230.05,228.57,230.17,227.55,3405644338.7000017,14882750,2020-01-31 13:59:59
228.58,227.12,229.07,226.8,1820932173.8,7997690,2020-01-31 14:59:59
227.12,227.07,228.43,226.9,1270378597.8000002,5581410,2020-01-31 15:59:59
227.1,227.75,227.95,226.9,738943271.3,3250450,2020-01-31 16:59:59
227.75,227.6,228.34,227.12,1125818919.4,4946620,2020-01-31 17:59:59
227.6,226.7,227.74,226.57,2134111556.4999998,9405580,2020-01-31 18:59:59
223.8,223.8,223.8,223.8,144357714.0,645030,2020-02-03 09:59:59
223.81,225.37,226.87,223.8,2139364508.1,9485820,2020-02-03 10:59:59
225.4,226.1,226.61,225.07,1248312975.3999991,5525040,2020-02-03 11:59:59
226.09,226.27,227.59,225.81,1065183736.7,4697890,2020-02-03 12:59:59
226.24,226.49,227.42,226.05,578274006.9,2550510,2020-02-03 13:59:59
226.45,226.74,227.23,226.3,795846020.9,3509850,2020-02-03 14:59:59
226.74,226.8,226.8,226.12,837099450.0999994,3696870,2020-02-03 15:59:59
226.8,227.81,229.98,226.5,2368658831.400001,10375870,2020-02-03 16:59:59
227.81,228.89,229.33,227.42,1336940425.2,5857410,2020-02-03 17:59:59
228.94,227.64,229.59,227.64,1802463226.4,7895520,2020-02-03 18:59:59
228.49,228.49,228.49,228.49,31474497.500000007,137750,2020-02-04 09:59:59
228.47,227.24,229.29,227.01,1333902358.3999999,5844130,2020-02-04 10:59:59
227.24,228.29,228.3,226.65,864043210.5999999,3796980,2020-02-04 11:59:59
228.28,227.75,228.52,227.42,884224467.2999997,3878970,2020-02-04 12:59:59
227.77,228.86,228.9,227.58,1342697680.9,5878410,2020-02-04 13:59:59
228.89,228.73,229.3,228.59,1010888925.3,4415350,2020-02-04 14:59:59
228.74,229.79,229.9,228.5,1093284769.0999997,4765920,2020-02-04 15:59:59
229.79,230.47,231.08,229.65,1568756245.1,6807730,2020-02-04 16:59:59
230.45,230.04,230.48,229.58,924766322.0,4019920,2020-02-04 17:59:59
230.03,230.5,230.8,229.9,1358112250.4,5893810,2020-02-04 18:59:59
230.89,230.89,230.89,230.89,7402333.400000017,32060,2020-02-05 09:59:59
230.89,229.7,230.98,228.8,970328473.4999999,4220390,2020-02-05 10:59:59
229.7,233.43,235.18,229.47,3543366972.399999,15250610,2020-02-05 11:59:59
233.45,234.15,234.99,233.25,2718875980.8999996,11611790,2020-02-05 12:59:59
234.15,234.51,234.81,233.8,997207516.0999999,4255650,2020-02-05 13:59:59
234.57,234.54,235.73,234.03,1589792949.6,6770100,2020-02-05 14:59:59
234.47,234.33,234.92,234.03,536553099.2999999,2288940,2020-02-05 15:59:59
234.31,234.01,234.66,233.02,1594260832.1999998,6821250,2020-02-05 16:59:59
234.04,234.5,234.77,233.53,1002044023.0999998,4279130,2020-02-05 17:59:59
234.49,232.56,234.68,232.56,1509434110.3000007,6467390,2020-02-05 18:59:59
234.0,234.0,234.0,234.0,14224860.0,60790,2020-02-06 09:59:59
234.04,234.85,236.0,233.77,1398055844.000001,5942100,2020-02-06 10:59:59
234.85,234.66,235.44,233.4,1413269531.3000004,6029740,2020-02-06 11:59:59
234.61,233.18,234.65,232.77,1161340266.3,4968710,2020-02-06 12:59:59
233.16,231.54,233.31,231.41,1143632631.8000002,4923000,2020-02-06 13:59:59
231.57,231.74,231.92,231.07,1059698497.8,4579230,2020-02-06 14:59:59
231.72,231.26,232.6,230.57,860595970.2999997,3718250,2020-02-06 15:59:59
231.26,230.61,231.34,230.38,514550164.10000014,2229340,2020-02-06 16:59:59
230.55,231.48,231.5,230.15,965329870.6999998,4181760,2020-02-06 17:59:59
231.48,231.38,231.98,230.64,1385647129.6999998,5989340,2020-02-06 18:59:59
232.38,232.38,232.38,232.38,7710368.399999997,33180,2020-02-07 09:59:59
232.38,231.73,233.39,230.39,1511314834.7000003,6517720,2020-02-07 10:59:59
231.66,229.57,232.29,229.54,1329370524.3000002,5760320,2020-02-07 11:59:59
229.6,230.03,230.6,229.15,1703395163.4000003,7413550,2020-02-07 12:59:59
230.09,227.43,230.25,227.4,2133976433.8999996,9335830,2020-02-07 13:59:59
227.43,227.85,228.56,227.14,721653261.5999998,3168930,2020-02-07 14:59:59
227.83,227.88,228.33,227.6,533580483.50000006,2339970,2020-02-07 15:59:59
227.88,228.13,229.29,227.49,843527000.4999999,3693760,2020-02-07 16:59:59
228.12,228.27,229.05,227.83,1328095374.2,5816820,2020-02-07 17:59:59
228.26,229.11,229.15,228.01,1341929570.2000003,5862700,2020-02-07 18:59:59
228.5,228.5,228.5,228.5,26316345.0,115170,2020-02-10 09:59:59
228.58,228.71,229.75,226.81,1458577718.9,6391680,2020-02-10 10:59:59
228.71,226.61,228.75,225.71,2579573915.0000005,11362560,2020-02-10 11:59:59
226.64,225.98,227.34,225.26,1458753182.4000003,6449230,2020-02-10 12:59:59
225.96,225.5,226.26,225.25,1182940710.8999999,5242000,2020-02-10 13:59:59
225.5,225.59,226.3,225.1,803250447.5999998,3561120,2020-02-10 14:59:59
225.65,225.58,226.15,225.35,310489377.4,1375110,2020-02-10 15:59:59
225.58,224.74,225.82,224.56,1314126371.9000003,5840840,2020-02-10 16:59:59
224.7,225.55,225.95,224.41,1136399085.6,5047050,2020-02-10 17:59:59
225.55,225.2,226.0,225.2,1238569297.8,5491280,2020-02-10 18:49:42
226.55,226.55,226.55,226.55,19453848.5,85870,2020-02-11 09:59:59
226.56,227.4,228.25,226.01,1875564582.100001,8253280,2020-02-11 10:59:59
227.34,227.03,227.37,226.18,1696594874.2000003,7480430,2020-02-11 11:59:59
227.06,228.07,228.63,226.8,1289707077.2000003,5663280,2020-02-11 12:59:59
228.08,228.15,228.39,227.56,397722667.4,1744360,2020-02-11 13:59:59
228.13,228.85,229.17,228.05,1107078729.6000001,4842750,2020-02-11 14:59:59
228.82,228.83,229.8,228.58,1444797006.5,6304420,2020-02-11 15:59:59
228.84,228.23,229.2,228.0,1010797649.0999999,4423470,2020-02-11 16:59:59
228.23,233.67,236.18,228.04,9902971280.4,42397290,2020-02-11 17:59:59
233.67,233.9,235.76,233.64,3387946892.699999,14438560,2020-02-11 18:59:59
235.3,235.3,235.3,235.3,14195649.0,60330,2020-02-12 09:59:59
235.2,238.4,238.9,234.56,5729895967.699999,24131890,2020-02-12 10:59:59
238.4,238.89,239.74,237.18,3156970962.7000012,13231520,2020-02-12 11:59:59
238.89,239.12,239.8,238.62,2745223278.2000012,11467650,2020-02-12 12:59:59
239.13,238.84,239.47,238.36,1561094263.5,6529880,2020-02-12 13:59:59
238.84,237.73,238.94,237.6,948723795.1000001,3981750,2020-02-12 14:59:59
237.8,237.57,238.08,236.7,1247391929.3999999,5254990,2020-02-12 15:59:59
237.57,236.88,237.99,236.13,1552986555.5000002,6553930,2020-02-12 16:59:59
236.85,236.73,237.65,236.26,1028084628.3000003,4339570,2020-02-12 17:59:59
236.73,238.03,238.45,236.58,1818673809.8000002,7647140,2020-02-12 18:59:59
236.9,236.9,236.9,236.9,14379830.0,60700,2020-02-13 09:59:59
236.9,236.48,237.98,236.01,1576985234.1000001,6649430,2020-02-13 10:59:59
236.48,235.93,237.2,235.0,1631409149.8999996,6918550,2020-02-13 11:59:59
235.89,234.5,236.1,234.01,1652450070.4999995,7037590,2020-02-13 12:59:59
234.5,235.4,235.65,233.7,1143182207.3,4872410,2020-02-13 13:59:59
235.49,235.18,235.5,234.37,424014673.0,1804730,2020-02-13 14:59:59
235.18,234.54,235.37,234.27,515692697.00000006,2195390,2020-02-13 15:59:59
234.54,234.93,235.34,234.01,599520327.1999996,2556320,2020-02-13 16:59:59
234.98,234.26,235.52,234.14,1009594436.7999998,4301480,2020-02-13 17:59:59
234.26,233.55,234.49,233.55,1314655591.6999998,5620150,2020-02-13 18:59:59
233.79,233.79,233.79,233.79,3418009.8,14620,2020-02-14 09:59:59
233.79,234.62,235.4,233.6,1040056814.8000002,4431390,2020-02-14 10:59:59
234.6,232.0,234.62,231.8,1968270412.8999996,8448890,2020-02-14 11:59:59
232.0,231.55,232.28,230.91,1176471798.0000002,5083480,2020-02-14 12:59:59
231.64,232.95,233.6,231.44,1120786936.7,4819850,2020-02-14 13:59:59
232.94,232.12,233.22,231.92,637275746.7,2738370,2020-02-14 14:59:59
232.11,232.93,233.21,232.0,360568221.79999995,1550220,2020-02-14 15:59:59
232.92,232.29,233.45,231.99,432332990.8000001,1857660,2020-02-14 16:59:59
232.25,231.46,232.82,231.46,568390074.2,2449670,2020-02-14 17:59:59
231.48,232.5,232.9,231.4,687973693.2,2959850,2020-02-14 18:59:59
233.5,233.5,233.5,233.5,7962350.0,34100,2020-02-17 09:59:59
233.4,233.81,234.56,233.27,851413809.9999998,3638450,2020-02-17 10:59:59
233.9,232.43,233.95,232.27,818480909.5000001,3512320,2020-02-17 11:59:59
232.49,233.19,233.19,231.91,443552153.8999999,1907990,2020-02-17 12:59:59
233.19,232.9,234.07,232.84,388921509.5,1666390,2020-02-17 13:59:59
232.95,232.64,233.13,232.5,323777658.1,1391750,2020-02-17 14:59:59
232.64,233.02,233.18,232.26,517130419.90000004,2222820,2020-02-17 15:59:59
233.02,232.85,233.16,232.5,301120155.90000015,1293030,2020-02-17 16:59:59
232.82,233.5,233.62,232.68,535647874.8,2297390,2020-02-17 17:59:59
233.52,233.75,233.92,233.4,606398229.4,2595130,2020-02-17 18:59:59
233.0,233.0,233.0,233.0,9205830.0,39510,2020-02-18 09:59:59
232.97,232.25,233.28,231.7,1010313645.7999997,4349330,2020-02-18 10:59:59
232.25,232.17,232.3,231.75,550434527.6,2372090,2020-02-18 11:59:59
232.16,231.7,232.17,231.5,506920152.6999998,2186810,2020-02-18 12:59:59
231.66,231.5,232.07,231.28,403806531.3000001,1743670,2020-02-18 13:59:59
231.44,230.74,231.71,230.57,535878563.5999999,2318360,2020-02-18 14:59:59
230.75,230.28,231.0,230.1,992246744.5999998,4307140,2020-02-18 15:59:59
230.28,230.35,230.9,229.8,892899736.7999998,3878440,2020-02-18 16:59:59
230.37,231.46,231.79,230.33,820995056.4,3550310,2020-02-18 17:59:59
231.47,230.5,231.49,230.0,1410755725.0,6116130,2020-02-18 18:59:59
231.81,231.81,231.81,231.81,11034155.999999998,47600,2020-02-19 09:59:59
231.84,232.64,233.5,231.21,1245573124.2999995,5359930,2020-02-19 10:59:59
232.66,231.99,232.94,231.8,626050348.0,2694600,2020-02-19 11:59:59
231.99,231.67,232.18,231.5,508031278.29999995,2191580,2020-02-19 12:59:59
231.67,231.8,231.92,231.5,494799877.0,2135490,2020-02-19 13:59:59
231.8,231.48,231.9,230.71,787254975.2999997,3402570,2020-02-19 14:59:59
231.54,231.7,232.65,231.28,537205379.3,2316070,2020-02-19 15:59:59
231.7,232.0,232.07,231.01,393693011.4000001,1700420,2020-02-19 16:59:59
232.03,232.22,232.42,231.51,452560023.40000004,1950520,2020-02-19 17:59:59
232.21,231.9,232.31,231.76,610871625.9000001,2632650,2020-02-19 18:49:46
232.51,232.51,232.51,232.51,8758651.699999994,37670,2020-02-20 09:59:59
232.55,234.1,234.16,232.0,1093704683.5,4688920,2020-02-20 10:59:59
234.1,234.76,235.5,233.83,1900040963.3000007,8096830,2020-02-20 11:59:59
234.76,234.39,234.8,234.02,310101572.59999985,1323170,2020-02-20 12:59:59
234.4,234.97,235.75,234.37,889682605.8,3784890,2020-02-20 13:59:59
234.94,234.91,235.35,234.68,336792721.3999999,1432700,2020-02-20 14:59:59
234.97,235.45,235.5,234.9,520898741.09999985,2214930,2020-02-20 15:59:59
235.45,235.16,235.67,234.53,652051981.0000004,2772010,2020-02-20 16:59:59
235.18,235.13,235.49,234.4,1305802040.7999997,5557180,2020-02-20 17:59:59
235.13,234.6,235.19,234.6,863404824.6,3676470,2020-02-20 18:59:59
233.05,233.05,233.05,233.05,10477928.0,44960,2020-02-21 09:59:59
233.2,232.61,233.77,232.42,1360300500.9,5839860,2020-02-21 10:59:59
232.67,233.35,233.61,231.61,1655311948.6000001,7116680,2020-02-21 11:59:59
233.39,232.34,233.55,232.08,595675088.4000001,2560670,2020-02-21 12:59:59
232.32,232.42,233.19,232.25,421119302.0,1809860,2020-02-21 13:59:59
232.45,232.25,232.6,232.01,424796486.6,1829190,2020-02-21 14:59:59
232.21,233.02,233.45,232.05,542091846.5999999,2328300,2020-02-21 15:59:59
233.05,232.92,233.24,232.51,253298876.89999995,1087520,2020-02-21 16:59:59
232.92,232.79,233.1,232.21,541646414.8000002,2328600,2020-02-21 17:59:59
232.78,232.0,232.97,232.0,1094962934.8000002,4713050,2020-02-21 18:59:59
228.0,228.0,228.0,228.0,100502400.0,440800,2020-02-25 09:59:59
227.99,227.77,229.57,227.2,2421409152.3,10605390,2020-02-25 10:59:59
227.78,228.49,230.06,227.15,1773084776.1000001,7759870,2020-02-25 11:59:59
228.49,227.91,228.84,227.88,644603232.5000001,2823870,2020-02-25 12:59:59
227.91,227.11,228.37,226.73,1506950899.0,6625270,2020-02-25 13:59:59
227.14,226.72,227.44,226.13,1228286256.0000002,5418650,2020-02-25 14:59:59
226.72,227.12,227.4,226.6,490222351.20000005,2159310,2020-02-25 15:59:59
227.16,226.8,227.2,226.52,553145137.0,2438700,2020-02-25 16:59:59
226.78,226.4,227.16,226.0,1076538145.2,4752780,2020-02-25 17:59:59
226.33,224.68,226.89,224.68,2192029146.5000024,9730840,2020-02-25 18:59:59
223.32,223.32,223.32,223.32,32088850.799999923,143690,2020-02-26 09:59:59
223.32,223.19,223.68,221.58,2316525464.7000003,10406250,2020-02-26 10:59:59
223.25,223.33,225.0,222.7,1715797872.1000001,7660370,2020-02-26 11:59:59
223.36,222.05,223.36,220.81,1967393796.8000004,8862900,2020-02-26 12:59:59
222.02,222.35,223.28,222.0,714382053.8,3209180,2020-02-26 13:59:59
222.35,223.81,224.34,222.23,1087078909.7999997,4866270,2020-02-26 14:59:59
223.8,224.03,224.25,223.37,802624030.6,3585940,2020-02-26 15:59:59
224.03,224.29,225.15,223.65,1594295330.7000005,7102160,2020-02-26 16:59:59
224.23,225.01,225.47,223.5,2178937434.2,9701080,2020-02-26 17:59:59
225.03,224.76,225.2,224.25,1846406975.0000007,8214400,2020-02-26 18:59:59
220.99,220.99,220.99,220.99,92188188.39999992,417160,2020-02-27 09:59:59
220.99,222.37,223.4,220.98,1838839370.9000003,8268310,2020-02-27 10:59:59
222.37,222.47,223.03,221.76,1307818736.7000003,5885580,2020-02-27 11:59:59
222.5,221.7,223.03,221.65,783069896.4000001,3522530,2020-02-27 12:59:59
221.7,221.26,222.0,221.12,874875850.7999997,3949530,2020-02-27 13:59:59
221.25,220.36,221.59,220.14,1674369243.7000003,7586990,2020-02-27 14:59:59
220.3,218.0,221.1,217.7,2919610424.8000016,13319770,2020-02-27 15:59:59
218.0,217.97,218.88,216.85,2958849989.8,13585870,2020-02-27 16:59:59
217.97,218.55,218.9,216.8,2728658984.9000015,12525570,2020-02-27 17:59:59
218.54,217.5,218.97,216.81,3038464901.900001,13966430,2020-02-27 18:59:59
210.0,210.0,210.0,210.0,151168500.0,719850,2020-02-28 09:59:59
210.0,205.75,211.97,202.37,9779643323.5,47264310,2020-02-28 10:59:59
205.63,206.86,209.67,204.1,4470341059.7,21609380,2020-02-28 11:59:59
206.86,204.17,207.35,201.23,3731317372.599999,18300440,2020-02-28 12:59:59
204.09,206.27,206.63,203.7,2370012296.1000004,11569490,2020-02-28 13:59:59
206.27,206.85,208.07,205.65,2017782824.4999998,9758170,2020-02-28 14:59:59
206.8,208.48,209.2,205.5,2087386755.3,10041700,2020-02-28 15:59:59
208.59,206.28,208.65,205.41,1579394311.5999997,7612130,2020-02-28 16:59:59
206.2,203.14,206.4,202.5,3184117175.499999,15581490,2020-02-28 17:59:59
203.14,202.65,203.15,200.57,5478104734.1,27140780,2020-02-28 18:59:59
